     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24 V25 V26 V27 V28 V29
 V0   X   X   X   X   X   X   X   X  13  95   X   X   X   X   X   X   X   X  93   X   X  73   X   X  86   X   X   2   X   X 
 V1   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X  72   X   X   X   X  73 
 V2   X   X   X   X   X   X   X  62   X   X   X  39   X   X   X   X  90   X  49   X   X   X   X  38   X  32  85   X   X   X 
 V3   X   X   X   X   X   X  95   X   X   X   X   X  60   X   X  53   X  79  83  37   X   X   X   X  51   X   X   X   X   X 
 V4   X   X   X   X   X   X  54   X   X  29   X   X   X   X   X   X  50  71   X   X   X  56   X   X  88   8   X   X   X  30 
 V5   X   X   X   X   X   X   X   X   X   X   X  28   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X  27 
 V6   X   X   X  95  54   X   X   X  79  24   X   X  94   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X  32   X 
 V7   X   X  62   X   X   X   X   X   X  33   5   2  94   X   X   X   X   X   X   X  74   X   X   X   X   X   X   X  52   X 
 V8  13   X   X   X   X   X  79   X   X   X  49   X   X   6   X   X   X  57   X   X   X   X   X   X   X  30   X   X   X   X 
 V9  95   X   X   X  29   X  24  33   X   X   X  53   X   X  15   X   X   X  75   X  37  48  66   X   X   X  67   X  30   X 
V10   X   X   X   X   X   X   X   5  49   X   X   X   X   X   X  10  41   X   X   X   X   X   X   X   X   X   X  41  66  93 
V11   X   X  39   X   X  28   X   2   X  53   X   X   X   X   X   X   X   X   X   X   X   X   X  49   X  46  92  12  73  25 
V12   X   X   X  60   X   X  94  94   X   X   X   X   X   X   X   X   X   X  57   X   X  34   X  85   X   X   X   X  37   X 
V13   X   X   X   X   X   X   X   X   6   X   X   X   X   X   X   X   X  38   X   X  16   1   X   X   X   X   X   X   X   X 
V14   X   X   X   X   X   X   X   X   X  15   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X  90  50   X  22  33 
V15   X   X   X  53   X   X   X   X   X   X  10   X   X   X   X   X   X   X   X  48   X   X   X   X  24  24   X   X   X  35 
V16   X   X  90   X  50   X   X   X   X   X  41   X   X   X   X   X   X   X   X   X   X   X   X   X  53   X   X  32   X   X 
V17   X   X   X  79  71   X   X   X  57   X   X   X   X  38   X   X   X   X   X   X   X   X   X   X  88  37  64   X   X   X 
V18  93   X  49  83   X   X   X   X   X  75   X   X  57   X   X   X   X   X   X   X   X   X   X  94  59  35   X  63   X   X 
V19   X   X   X  37   X   X   X   X   X   X   X   X   X   X   X  48   X   X   X   X  40   X  50   X   X   X  60   X   X   X 
V20   X   X   X   X   X   X   X  74   X  37   X   X   X  16   X   X   X   X   X  40   X   X   X   X   X   X   X   X   X   X 
V21  73   X   X   X  56   X   X   X   X  48   X   X  34   1   X   X   X   X   X   X   X   X   X   X   X   X  65   X   X   X 
V22   X   X   X   X   X   X   X   X   X  66   X   X   X   X   X   X   X   X   X  50   X   X   X  89   X   X   X   X   X   X 
V23   X   X  38   X   X   X   X   X   X   X   X  49  85   X   X   X   X   X  94   X   X   X  89   X   X  51   X   X   X  33 
V24  86  72   X  51  88   X   X   X   X   X   X   X   X   X   X  24  53  88  59   X   X   X   X   X   X   X  18   X   X   X 
V25   X   X  32   X   8   X   X   X  30   X   X  46   X   X  90  24   X  37  35   X   X   X   X  51   X   X   X   X   3  63 
V26   X   X  85   X   X   X   X   X   X  67   X  92   X   X  50   X   X  64   X  60   X  65   X   X  18   X   X   8   X   X 
V27   2   X   X   X   X   X   X   X   X   X  41  12   X   X   X   X  32   X  63   X   X   X   X   X   X   X   8   X   X   X 
V28   X   X   X   X   X   X  32  52   X  30  66  73  37   X  22   X   X   X   X   X   X   X   X   X   X   3   X   X   X   X 
V29   X  73   X   X  30  27   X   X   X   X  93  25   X   X  33  35   X   X   X   X   X   X   X  33   X  63   X   X   X   X 
(V0-V27,2) (V27-V26,8) (V27-V11,12) (V11-V7,2) (V7-V10,5) (V10-V15,10) (V0-V8,13) (V8-V13,6) (V13-V21,1) (V13-V20,16) (V26-V24,18) (V15-V25,24) (V25-V28,3) (V25-V4,8) (V28-V14,22) (V14-V9,15) (V9-V6,24) (V11-V29,25) (V29-V5,27) (V25-V2,32) (V27-V16,32) (V29-V23,33) (V21-V12,34) (V25-V18,35) (V25-V17,37) (V20-V19,40) (V19-V3,37) (V19-V22,50) (V24-V1,72) 最小生成树总权值为643
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24 V25 V26 V27 V28 V29
 V0   X  88   X  74   X  70  87   X   X   3   X   X  12   X   X   X   X  53   X  62  51   X   X   X   X   X   X   X   X  27 
 V1  88   X   X   X   X   X   X   X   X   X   X   X   X   X   X  15   X   X   X   X   X   X   X   X   X   X   X  27   X 100 
 V2   X   X   X  82  62   X   X   X  38   X  53   X  36  43  35   X   X   X   X   X   X   X   X   X   X  42   X  80  92   X 
 V3  74   X  82   X  37   X   X   X   X  85   X   X   X   X   4   X   X   X   X   X  42   X  22   X  26  37   X   X   X  39 
 V4   X   X  62  37   X   X   X   X   X   X   5  37   X  10   X   X   X  54   X   X   X   X   X   X   X   X   X  81  82   X 
 V5  70   X   X   X   X   X   X  67   X   X   X  91   X   X   X   X  46   X   X   X   X   X   X   X   X   X   X  64   X   X 
 V6  87   X   X   X   X   X   X   X   X   X   X   X  33   X   X  39   X   X   X  47  23   8  90   X   X  48   X   X   1   X 
 V7   X   X   X   X   X  67   X   X   2   X   X   X   X   X   X   X   X   X   X   X  84   X   X   X  82   X   X   X   X   X 
 V8   X   X  38   X   X   X   X   2   X   X   X   X   X   X   X  31   X   X   X   X   X   X   X   X   X   X   X   X   X   X 
 V9   3   X   X  85   X   X   X   X   X   X   X   X   X   X   X  31   X   X  97   X   X   X   X   X  86   X   X  40   X  50 
V10   X   X  53   X   5   X   X   X   X   X   X   X   X   X   X   X  25   X   X   X   X   X   X   X   X   X  87  34   X   X 
V11   X   X   X   X  37  91   X   X   X   X   X   X  43   X   X  53   X  29   X   X  95   X   X   X   X   X  29   X   X   X 
V12  12   X  36   X   X   X  33   X   X   X   X  43   X   X   X   X   X   X   X  91   X  88   X   X   X  62   X   4  23   X 
V13   X   X  43   X  10   X   X   X   X   X   X   X   X   X   X   X   1   X   X   X   X  29   X  45   X   X  29  94   X   X 
V14   X   X  35   4   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X  66   1   X   X   X   X  62  51   X   X   X 
V15   X  15   X   X   X   X  39   X  31  31   X  53   X   X   X   X   X   X   X   X   X   X   X   X   X  54   X   X   X   X 
V16   X   X   X   X   X  46   X   X   X   X  25   X   X   1   X   X   X   X   X   X   X   5   X   X   X   X   X   X   X   X 
V17  53   X   X   X  54   X   X   X   X   X   X  29   X   X   X   X   X   X   X   X  55   X   X   X   X  34   X  99   X   X 
V18   X   X   X   X   X   X   X   X   X  97   X   X   X   X   X   X   X   X   X   X   X  53   X   X   X   X   X   X   X   X 
V19  62   X   X   X   X   X  47   X   X   X   X   X  91   X  66   X   X   X   X   X   X  78  50   X   X   X   X   X   X  38 
V20  51   X   X  42   X   X  23  84   X   X   X  95   X   X   1   X   X  55   X   X   X   2  24   X  22   X   X  21   X   X 
V21   X   X   X   X   X   X   8   X   X   X   X   X  88  29   X   X   5   X  53  78   2   X   X   X   X   X   X   X   X   X 
V22   X   X   X  22   X   X  90   X   X   X   X   X   X   X   X   X   X   X   X  50  24   X   X   X   X  22   X   X   X   X 
V23   X   X   X   X   X   X   X   X   X   X   X   X   X  45   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X 
V24   X   X   X  26   X   X   X  82   X  86   X   X   X   X   X   X   X   X   X   X  22   X   X   X   X   X   6  52   X   X 
V25   X   X  42  37   X   X  48   X   X   X   X   X  62   X  62  54   X  34   X   X   X   X  22   X   X   X   X   X  64  33 
V26   X   X   X   X   X   X   X   X   X   X  87  29   X  29  51   X   X   X   X   X   X   X   X   X   6   X   X  73   X   X 
V27   X  27  80   X  81  64   X   X   X  40  34   X   4  94   X   X   X  99   X   X  21   X   X   X  52   X  73   X   X  62 
V28   X   X  92   X  82   X   1   X   X   X   X   X  23   X   X   X   X   X   X   X   X   X   X   X   X  64   X   X   X   X 
V29  27 100   X  39   X   X   X   X   X  50   X   X   X   X   X   X   X   X   X  38   X   X   X   X   X  33   X  62   X   X 
(V0-V9,3) (V0-V12,12) (V12-V27,4) (V27-V20,21) (V20-V14,1) (V20-V21,2) (V14-V3,4) (V21-V16,5) (V16-V13,1) (V21-V6,8) (V6-V28,1) (V13-V4,10) (V4-V10,5) (V3-V22,22) (V20-V24,22) (V24-V26,6) (V22-V25,22) (V27-V1,27) (V1-V15,15) (V0-V29,27) (V26-V11,29) (V11-V17,29) (V15-V8,31) (V8-V7,2) (V14-V2,35) (V29-V19,38) (V13-V23,45) (V16-V5,46) (V21-V18,53) 最小生成树总权值为526
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24 V25 V26 V27 V28 V29
 V0   X   X   X   X   X  59   X   X   X   X   X   X   X   X   X  34   X   X   X   X   X  33   X   X   X   X   X   X   X   X 
 V1   X   X   X  42   X   X   X  23   X   X   X   9   X   X   X   X   X  11   X  48   8   X   X   X   X   X   X  57   X   X 
 V2   X   X   X   X   X   X 100   X   X   X   X  72   X   X   X   X   X   X   X  93   X   X   X   X  54   X   X  87   X  97 
 V3   X  42   X   X  84   X   X   X   X  95   X  83   X   X   X   X   X   X   X   X   X   X   X   8   X  89   X   X   X   X 
 V4   X   X   X  84   X   X  62   X   X  28   X   X   X   X   X   X  65   X   X  30   X   X   X   X   X   X   X   X   X   X 
 V5  59   X   X   X   X   X 100   X   X   X   X   X   X   X   X   X   X  67   X  38   X   X   X  36   X  13  46  26   X   X 
 V6   X   X 100   X  62 100   X   X   X   X   X   X   X  22  66   X   X   X   X   X  81   X   X  49   X   8   X   X   X  38 
 V7   X  23   X   X   X   X   X   X   X   X   X   X  15  20  13   X   X   X  60   X   X  99   X   X   X   X   X  50   X   X 
 V8   X   X   X   X   X   X   X   X   X  49   X   X   X   X   X  99  76   X   X   X  33   X  52   X  37   X   X   X   X   X 
 V9   X   X   X  95  28   X   X   X  49   X   X   X   X   X   X   X   X   X   X   X   X  77   X   X   X   X   2  85   X   X 
V10   X   X   X   X   X   X   X   X   X   X   X  95   X   X   X   X   X   X  42   X   X  89  14   X  46  36   X   X   X   X 
V11   X   9  72  83   X   X   X   X   X   X  95   X   X  18   X   X   X  87  46  42  84   8   X   X   X   X   X   X   X  97 
