     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X  49   X   X   X   X   X   X   X   2   X   X   X   X   X   X   X   X   X  67   X  71   X   X 
 V1   X   X   X  68   X  18  12  88   X   X  85   X   X  55  14  30   X  56   X   X   X   X   X   X  49 
 V2  49   X   X  19   X   X   X  32  81   X   X   X   X   X   X   X   3   X   X   X  28   X   X   X   X 
 V3   X  68  19   X   X  11  69   X  11   X  34   X  69   X   X   X  52   X  66   X   X   X  10   X  36 
 V4   X   X   X   X   X   X   X  85   X   X   X   X   X  61  69   X  11   X  75  59   X   X   X   X   X 
 V5   X  18   X  11   X   X   X   X  15   X  44  27   X   X   X  70   5  15   X   X  24   X   X   X   X 
 V6   X  12   X  69   X   X   X   X  39   X  99   X   X   X   X  15   X   X   X  23   X   4   X   X   X 
 V7   X  88  32   X  85   X   X   X   X  33   X  98   X   X   X   X  93   X   X  11   X   X   X  23  65 
 V8   X   X  81  11   X  15  39   X   X   X   X   X   X  12   X   X   X   X   X   X  57   X   X  16   X 
 V9   X   X   X   X   X   X   X  33   X   X   X  73   7  45   X  68   X   X  11  65   X  96   6   X  45 
V10   2  85   X  34   X  44  99   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X  49 
V11   X   X   X   X   X  27   X  98   X  73   X   X   X   X   X   X   X  90   8  15  85  79   X   8   X 
V12   X   X   X  69   X   X   X   X   X   7   X   X   X   X   X   X  17   X   X  79  39   X   X  73   X 
V13   X  55   X   X  61   X   X   X  12  45   X   X   X   X   X   X  16  38  83  92   8   X  14   X   X 
V14   X  14   X   X  69   X   X   X   X   X   X   X   X   X   X   2  38   X   X   X  52   5   X  78   X 
V15   X  30   X   X   X  70  15   X   X  68   X   X   X   X   2   X   X   X   X   X   X   X  21   X   X 
V16   X   X   3  52  11   5   X  93   X   X   X   X  17  16  38   X   X   X   X  83  33   X   X   X  55 
V17   X  56   X   X   X  15   X   X   X   X   X  90   X  38   X   X   X   X  50  25   X   X   X   X  61 
V18   X   X   X  66  75   X   X   X   X  11   X   8   X  83   X   X   X  50   X   X   X   X   X   X   X 
V19   X   X   X   X  59   X  23  11   X  65   X  15  79  92   X   X  83  25   X   X  22  32  77   X   X 
V20  67   X  28   X   X  24   X   X  57   X   X  85  39   8  52   X  33   X   X  22   X   X  69  28   X 
V21   X   X   X   X   X   X   4   X   X  96   X  79   X   X   5   X   X   X   X  32   X   X   X  81   X 
V22  71   X   X  10   X   X   X   X   X   6   X   X   X  14   X  21   X   X   X  77  69   X   X   X   X 
V23   X   X   X   X   X   X   X  23  16   X   X   8  73   X  78   X   X   X   X   X  28  81   X   X  74 
V24   X  49   X  36   X   X   X  65   X  45  49   X   X   X   X   X  55  61   X   X   X   X   X  74   X 
(V0-V10,2)(V15-V14,2)(V2-V16,3)(V6-V21,4)(V21-V14,5)(V16-V5,5)(V22-V9,6)(V9-V12,7)(V13-V20,8)(V11-V23,8)(V18-V11,8)(V3-V22,10)(V7-V19,11)(V16-V4,11)(V9-V18,11)(V8-V3,11)(V5-V3,11)(V1-V6,12)(V13-V8,12)(V17-V5,15)(V11-V19,15)(V1-V5,18)(V10-V3,34)(V24-V3,36)最小生成树总权值为265
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X  53   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X  46   X   X   X   X 
 V1   X   X   X   X   X   X   X   X   X   X  36  95  52  71   X   X   X   X   X   X   X   X  36  41   X 
 V2  53   X   X   X 100  53   X  62   X   X   X  22   X   X  34   X   X  19  78   X  63  80   X   X  97 
 V3   X   X   X   X   X  10   X  45   X  83  34   X   X  82   8   X   X   X   X   X   X   X   X  60   X 
 V4   X   X 100   X   X  95   X  23   X   X   X   X   X   X   X   X  77   X   X   3   X  74  65   X   X 
 V5   X   X  53  10  95   X  72  23   X   X   X  79   X   X   X  49   X   X   X   X   X   X  71   X  30 
 V6   X   X   X   X   X  72   X   X   X   X   X  60   X  30  35   X   X  93   X  13  65   X  61   X   X 
 V7   X   X  62  45  23  23   X   X   X   X  40   X   X  96  95   X   9   X   X  45   X   X   X   X   X 
 V8   X   X   X   X   X   X   X   X   X   X  40  27   X   X   X   X   X   X   X   7   X   X   X   X   X 
 V9   X   X   X  83   X   X   X   X   X   X   X   X   X  67   X   X   X   X   X   7  11  69   X   X   X 
V10   X  36   X  34   X   X   X  40  40   X   X   6   X   X   X   X   X  72   X  24  56  82   X   X   X 
V11   X  95  22   X   X  79  60   X  27   X   6   X  41   X   X   X  27  44  98   X   X   X   X   X   X 
V12   X  52   X   X   X   X   X   X   X   X   X  41   X  92  78  44   X  39   X   X   X   7   X   X   X 
V13   X  71   X  82   X   X  30  96   X  67   X   X  92   X   X  23  22   X   X   X   X  74  17  45  72 
V14   X   X  34   8   X   X  35  95   X   X   X   X  78   X   X  52   X   2   X   X   X   X  60   X   X 
